"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","BWH","BWD","BWA","IWH","IWD","IWA","LBH","LBD","LBA","season"
"SP1","01/05/10","La Coruna","Zaragoza",0,1,"A",0,0,"D",7,7,4,1,20,11,4,6,3,2,0,0,2.4,3.3,2.88,2.35,3.25,2.85,2.3,3.3,2.7,2.25,3.2,2.75,"09/10"
"SP1","01/05/10","Espanol","Valencia",0,2,"A",0,0,"D",9,15,2,6,14,19,6,10,3,0,0,0,2.88,3.3,2.4,2.85,3.25,2.35,2.65,3.1,2.5,2.75,3.2,2.25,"09/10"
"SP1","26/04/10","Osasuna","Ath Bilbao",0,0,"D",0,0,"D",12,8,3,5,15,12,5,6,1,1,0,0,2.5,3.25,2.8,2.45,3.15,2.8,2.3,3.1,2.9,2.38,3,2.75,"09/10"
"SP1","25/04/10","Sp Gijon","Valladolid",0,2,"A",0,0,"D",8,12,1,6,24,17,3,1,2,3,1,1,2.25,3.25,3.25,2.25,3.2,3.1,2.1,3.3,3.1,2.1,3.2,3,"09/10"
"SP1","25/04/10","Santander","Villarreal",1,2,"A",1,0,"H",10,22,6,11,21,10,4,9,7,4,0,0,3,3.25,2.38,2.9,3.3,2.3,2.6,3.3,2.4,2.6,3.2,2.38,"09/10"
"SP1","25/04/10","Mallorca","Malaga",1,1,"D",0,0,"D",24,14,7,8,19,20,8,6,2,5,0,1,1.5,4,7,1.55,4,6.5,1.5,3.9,5.5,1.4,4.2,6,"09/10"
"SP1","25/04/10","Getafe","Sevilla",4,3,"H",1,2,"A",20,10,9,6,11,16,10,3,6,3,0,1,2.8,3.25,2.5,2.65,3.3,2.5,2.7,3.3,2.3,2.5,3.2,2.5,"09/10"
"SP1","25/04/10","Ath Madrid","Tenerife",3,1,"H",2,0,"H",26,14,11,3,10,14,9,7,1,2,0,0,1.8,3.5,4.5,1.75,3.8,4.6,1.7,3.6,4.2,1.62,3.5,4.5,"09/10"
"SP1","25/04/10","Almeria","Espanol",0,1,"A",0,0,"D",13,16,2,6,17,15,10,2,4,4,0,1,2.2,3.2,3.4,2.15,2.85,3.75,2.1,2.9,3.5,2.2,3,3,"09/10"
"SP1","24/04/10","Zaragoza","Real Madrid",1,2,"A",0,0,"D",7,19,2,12,21,22,1,7,3,4,1,0,10,5.5,1.29,9,5.25,1.34,7.8,4.6,1.33,8,4.5,1.29,"09/10"
"SP1","24/04/10","Valencia","La Coruna",1,0,"H",1,0,"H",12,9,6,1,17,11,12,2,3,3,1,0,1.4,4.5,8,1.44,4.4,7.75,1.45,3.9,6.5,1.44,3.6,6.5,"09/10"
"SP1","24/04/10","Barcelona","Xerez",3,1,"H",2,1,"H",14,8,7,4,17,17,3,6,1,9,0,2,1.1,8.5,29,1.08,9.5,19,1.1,7.3,15,1.07,8,15,"09/10"
"SP1","19/04/10","Mallorca","Osasuna",2,0,"H",1,0,"H",15,12,8,4,14,15,5,9,1,3,0,0,1.62,3.6,6,1.65,3.6,5,1.6,3.6,5,1.5,3.5,6,"09/10"
"SP1","18/04/10","Xerez","Santander",2,2,"D",1,1,"D",11,14,4,7,16,13,5,13,1,2,0,0,2.4,3.3,2.88,2.35,3.25,2.85,2.3,3.3,2.75,2.38,3.2,2.6,"09/10"
"SP1","18/04/10","Tenerife","Getafe",3,2,"H",1,1,"D",19,14,4,7,13,19,7,3,2,4,0,0,2.4,3.3,2.88,2.4,3.25,2.8,2.25,3.2,2.9,2.4,3.25,2.5,"09/10"
"SP1","18/04/10","Real Madrid","Valencia",2,0,"H",1,0,"H",24,9,11,3,16,16,2,7,2,3,0,0,1.4,4.5,8,1.45,4.75,6.75,1.35,4.5,7.3,1.36,4,7,"09/10"
"SP1","18/04/10","Malaga","Valladolid",0,0,"D",0,0,"D",13,14,4,0,15,22,6,6,2,2,0,0,1.91,3.4,4,1.95,3.25,3.85,2,3.3,3.3,1.91,3.2,3.5,"09/10"
"SP1","18/04/10","La Coruna","Almeria",0,0,"D",0,0,"D",18,18,4,2,14,10,3,9,2,2,0,0,1.91,3.4,4,1.9,3.3,3.95,1.9,3.3,3.7,1.8,3.2,4,"09/10"
"SP1","18/04/10","Ath Bilbao","Zaragoza",0,0,"D",0,0,"D",16,6,6,1,14,17,5,2,3,5,0,0,1.73,3.5,5,1.83,3.5,4.75,1.75,3.4,4.3,1.62,3.5,4.5,"09/10"
"SP1","17/04/10","Villarreal","Ath Madrid",2,1,"H",2,0,"H",7,13,5,7,15,22,4,8,2,2,0,0,1.83,3.5,4.33,1.85,3.6,4.33,1.75,3.4,4.3,1.8,3.3,3.75,"09/10"
"SP1","17/04/10","Sevilla","Sp Gijon",3,0,"H",1,0,"H",16,4,7,2,8,20,6,3,3,4,0,2,1.4,4.33,8.5,1.35,4.6,8,1.35,4.5,7.3,1.4,3.75,7,"09/10"
"SP1","17/04/10","Espanol","Barcelona",0,0,"D",0,0,"D",9,4,3,1,21,17,3,4,3,2,0,1,9,5,1.33,8,5.3,1.3,7.3,4.5,1.35,8,4,1.33,"09/10"
"SP1","15/04/10","Valencia","Ath Bilbao",2,0,"H",1,0,"H",17,6,5,3,17,13,15,3,1,2,0,0,1.62,3.75,5.5,1.6,3.65,5.5,1.55,3.7,6,1.62,3.5,4.5,"09/10"
"SP1","15/04/10","Almeria","Real Madrid",1,2,"A",1,1,"D",10,32,4,15,19,17,4,10,3,4,0,0,10,5.5,1.29,8.25,5.25,1.3,7,5,1.35,8,4.5,1.29,"09/10"
"SP1","14/04/10","Zaragoza","Mallorca",1,1,"D",1,1,"D",14,6,3,3,16,14,5,5,2,4,0,0,2.2,3.3,3.2,2.25,3.3,3,2.3,3.4,2.8,2.25,3.2,2.75,"09/10"
