"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","season"
"08/02/98","Chievo","F. Andria",1,1,"D","97/98"
"08/02/98","Cagliari","Pescara",2,0,"H","97/98"
"08/02/98","Ancona","C. Sangro",1,1,"D","97/98"
"01/02/98","Verona","Salernitana",0,2,"A","97/98"
"01/02/98","Treviso","Cagliari",0,1,"A","97/98"
"01/02/98","Torino","Ancona",1,1,"D","97/98"
"01/02/98","Reggina","Chievo",0,0,"D","97/98"
"01/02/98","Ravenna","Lucchese",2,1,"H","97/98"
"01/02/98","Pescara","Monza",2,2,"D","97/98"
"01/02/98","Genoa","Venezia",3,1,"H","97/98"
"01/02/98","Foggia","Reggiana",0,2,"A","97/98"
"01/02/98","F. Andria","Perugia",1,1,"D","97/98"
"01/02/98","C. Sangro","Padova",1,1,"D","97/98"
"25/01/98","Venezia","Reggina",4,0,"H","97/98"
"25/01/98","Salernitana","F. Andria",1,1,"D","97/98"
"25/01/98","Reggiana","Pescara",1,0,"H","97/98"
"25/01/98","Ravenna","Verona",1,1,"D","97/98"
"25/01/98","Perugia","Monza",3,2,"H","97/98"
"25/01/98","Padova","Genoa",1,1,"D","97/98"
"25/01/98","Lucchese","Torino",3,1,"H","97/98"
"25/01/98","Chievo","Cagliari",2,1,"H","97/98"
"25/01/98","C. Sangro","Treviso",0,0,"D","97/98"
"25/01/98","Ancona","Foggia",3,2,"H","97/98"
"18/01/98","Verona","C. Sangro",0,0,"D","97/98"
"18/01/98","Treviso","Lucchese",3,0,"H","97/98"
"18/01/98","Torino","Perugia",0,0,"D","97/98"
"18/01/98","Reggina","Padova",3,0,"H","97/98"
"18/01/98","Pescara","Chievo",3,1,"H","97/98"
"18/01/98","Monza","Reggiana",0,0,"D","97/98"
"18/01/98","Genoa","Ravenna",1,0,"H","97/98"
"18/01/98","Foggia","Salernitana",2,0,"H","97/98"
"18/01/98","F. Andria","Venezia",1,1,"D","97/98"
"18/01/98","Cagliari","Ancona",3,0,"H","97/98"
"11/01/98","Venezia","Cagliari",2,2,"D","97/98"
"11/01/98","Salernitana","Reggina",2,0,"H","97/98"
"11/01/98","Reggiana","F. Andria",1,0,"H","97/98"
"11/01/98","Ravenna","Foggia",3,1,"H","97/98"
"11/01/98","Perugia","Pescara",1,1,"D","97/98"
"11/01/98","Padova","Treviso",0,0,"D","97/98"
"11/01/98","Lucchese","Verona",1,0,"H","97/98"
