"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","BWH","BWD","BWA","IWH","IWD","IWA","LBH","LBD","LBA","season"
"I1","29/12/17","Crotone","Napoli",0,1,"A",0,1,"A",5,23,2,7,10,6,2,15,1,2,0,0,15,6.5,1.19,12.5,6.5,1.22,10.5,5.8,1.27,13,6,1.22,"17/18"
"I1","30/12/17","Atalanta","Cagliari",1,2,"A",0,2,"A",25,4,6,3,6,19,5,3,0,5,0,1,1.44,4.33,8,1.45,4.5,7,1.5,4.2,6.5,1.44,4.33,7.5,"17/18"
"I1","30/12/17","Benevento","Chievo",1,0,"H",0,0,"D",18,9,9,3,14,17,7,1,1,2,0,0,3.2,3.29,2.29,3.1,3.3,2.35,3.3,3.35,2.2,3.1,3.25,2.3,"17/18"
"I1","30/12/17","Bologna","Udinese",1,2,"A",1,1,"D",12,7,3,4,14,16,8,0,2,3,0,0,2.39,3.29,3,2.45,3,3.2,2.4,3.1,3.15,2.37,3.2,3,"17/18"
"I1","30/12/17","Fiorentina","Milan",1,1,"D",0,0,"D",18,8,6,4,11,12,2,5,1,1,0,0,2,3.5,3.79,2.1,3.4,3.6,2.3,3.3,3.15,2.05,3.4,3.5,"17/18"
"I1","30/12/17","Inter","Lazio",0,0,"D",0,0,"D",10,12,3,4,13,9,10,8,2,1,0,0,2.29,3.39,3.1,2.25,3.5,3.1,2.2,3.35,3.3,2.25,3.5,3,"17/18"
"I1","30/12/17","Roma","Sassuolo",1,1,"D",1,0,"H",21,15,4,5,13,12,7,4,1,2,0,0,1.3,5.5,10,1.3,5.5,9.75,1.3,5.5,9.5,1.3,5.25,10,"17/18"
"I1","30/12/17","Sampdoria","Spal",2,0,"H",0,0,"D",20,9,8,2,16,15,11,3,3,4,0,0,1.72,4,4.5,1.67,4,5,1.7,3.7,5,1.7,3.8,4.75,"17/18"
"I1","30/12/17","Torino","Genoa",0,0,"D",0,0,"D",17,3,6,1,25,23,8,3,1,3,0,0,2.1,3.39,3.6,2.05,3.4,3.7,2,3.4,3.8,2.05,3.3,3.6,"17/18"
"I1","30/12/17","Verona","Juventus",1,3,"A",0,1,"A",3,18,1,8,22,4,6,6,2,0,0,0,15,6.5,1.19,15,6,1.22,11,6,1.25,15,6,1.22,"17/18"
"I1","05/01/18","Chievo","Udinese",1,1,"D",1,1,"D",11,9,6,1,6,20,5,5,0,1,0,0,3,3.2,2.5,3.1,3.1,2.45,2.8,3.2,2.6,2.9,3.25,2.45,"17/18"
"I1","05/01/18","Fiorentina","Inter",1,1,"D",0,0,"D",23,13,4,4,9,11,7,5,2,3,0,0,2.5,3.25,2.87,2.55,3.25,2.85,2.7,3.3,2.6,2.5,3.25,2.8,"17/18"
"I1","06/01/18","Benevento","Sampdoria",3,2,"H",0,1,"A",16,13,4,6,10,9,6,7,1,1,0,1,3.5,3.5,2.1,3.6,3.4,2.1,3.5,3.4,2.1,3.4,3.5,2.05,"17/18"
